start_time,end_time,speaker
0.14,2.1500000000000004,Other
2.22,5.91,Other
4.22,11.27,Other
7.26,15.19,Other
8.22,17.19,Other
9.18,18.95,Other
9.98,22.630000000000003,Other
14.3,29.67,Caller
17.58,35.75,Caller
19.26,38.790000000000006,Other
19.74,41.51,Other
22.54,45.43,Other
23.66,48.15,Caller
24.78,50.39,Caller
25.9,52.709999999999994,Caller
27.5,55.35,Other
28.94,58.95,Caller
31.02,62.55,Caller
32.14,66.39,Caller
35.82,72.31,Other
36.94,74.63,Caller
37.9,76.71,Other
39.5,80.63,Caller
42.22,85.43,Other
44.38,89.03,Caller
47.1,94.47,Other
47.58,95.75,Other
49.26,98.94999999999999,Caller
49.9,100.47,Caller
52.3,105.42999999999999,Other
53.98,108.47,Caller
55.1,110.55000000000001,Caller
56.14,113.35,Other
57.98,116.71,Caller
63.26,127.75,Other
64.94,130.23,Caller
65.66,131.67,Caller
66.54,133.51000000000002,Caller
67.74,137.02999999999997,Caller
73.42,147.11,Caller
73.9,149.27,Caller
76.06,155.43,Caller
79.82,161.19,Caller
84.22,169.43,Other
85.66,171.91,Caller
86.86,174.47,Other
87.98,177.03,Caller
90.78,184.79000000000002,Other
94.3,190.07,Caller
96.62,193.99,Caller
112.7,226.07,Other
115.66,232.14999999999998,Other
116.94,234.95,Other
118.7,237.99,Caller
120.22,241.67000000000002,Other
121.74,243.99,Caller
123.02,248.31,Other
125.74,253.10999999999999,Caller
127.58,256.15,Caller
129.66,260.71,Caller
131.74,264.07000000000005,Other
133.74,268.71000000000004,Other
135.18,271.35,Other
136.62,275.59000000000003,Caller
139.18,279.35,Other
142.7,286.39,Other
147.02,294.31000000000006,Caller
147.58,295.43000000000006,Caller
148.22,296.71000000000004,Caller
165.58,332.39,Other
167.42,335.03,Other
