start_time,end_time,speaker,phrase
00:00.14,00:12.20,Unknown,conversation recorded on january first two thousand and eleven at ten fifty seven on channel twenty nine
00:19.20,00:19.68,Caller,nine one
00:19.76,00:21.80,911 Operator,one operator thirteen forty three where
00:21.84,00:26.84,Caller,is your emergency i here at the po i'm here at the police station al falls
00:27.48,00:27.68,911 Operator,ok
00:28.92,00:33.96,Caller,yah what's wrong i told my sister i'm turn yself in
00:35.40,00:36.36,911 Operator,where did it happen a
00:37.32,00:37.60,Caller,house
00:37.80,00:38.68,911 Operator,where do you live at
00:39.12,00:41.04,Caller,tw forty seven rofall avenue
00:42.16,00:43.04,911 Operator,how did you kill her
00:43.64,00:44.56,Caller,i strangled her
00:46.92,00:48.04,911 Operator,what apartment number
00:48.60,00:50.52,Caller,two forty seven f fall
00:52.20,00:53.04,911 Operator,when did you do this
00:53.88,00:55.20,Caller,i just did this morning
00:56.00,00:57.00,911 Operator,how old's your sister
00:57.96,00:58.48,Caller,thirty two
01:03.12,01:04.32,911 Operator,how did you strangler
01:04.84,01:21.12,Caller,i just i got angry and i i strangled her we had an argument she said she's going to's going to hurt my mom and everything and sh does to hurt my mom and everything and i just i just lost it
01:23.88,01:24.92,911 Operator,what's your last name on
01:25.60,01:26.04,Caller,hamley
01:26.88,01:27.36,911 Operator,hanley
01:28.16,01:28.40,Caller,a t
01:28.96,01:33.64,911 Operator,wif do you have it your is this your cell phone that you're calling on
01:34.20,01:37.36,Caller,yes i'm here at the police station moroe falls
01:37.80,01:38.08,Unknown,okay
01:52.84,01:57.84,911 Operator,okay are you okay what's your first name
01:58.64,01:58.96,Caller,larry
02:00.20,02:01.28,911 Operator,your first name's larry
02:01.80,02:02.00,Caller,yes
02:02.96,02:05.08,911 Operator,okay larry i'm just gonn to keep you on the line
02:06.16,02:10.84,Caller,i i'm frantic i'm just tenic of them i' just wotched it
02:11.84,02:15.88,911 Operator,okay are you on any medication of any sort
02:16.48,02:18.60,Caller,oh you tkre spiritial and stuff like that
02:19.00,02:23.20,911 Operator,what's that for what's that for
02:45.60,02:46.64,Caller,and of recording
