start_time,end_time,speaker,phrase
00:00.00,00:08.40,Narrator,monday two twenty two thousand six at five fifty nine p m
00:11.28,00:11.80,911 Operator,emergency
00:11.84,00:13.04,Unknown,nl y whords the pible
00:15.60,00:18.60,Caller,my mama youver
00:18.80,00:21.12,Unknown,hn spruce drohn spruce
00:23.36,00:23.68,911 Operator,where's
00:23.76,00:24.60,Caller,mr turnter at
00:25.80,00:26.28,911 Operator,right here
00:26.80,00:27.64,Caller,let me speak to him
00:29.04,00:29.52,Caller,sh sh
00:32.00,00:39.28,911 Operator,okay well i'm gona send the police to your house to find out what's going on with you one nine five zero spruce apartment three
